fs,T,gdot,rdf_timestep,r_cut_A,N_AlAl_rcut,N_MgAl_rcut,ratio_AlAl_MgAl_rcut,rdf_file
20,865.0,0.0,500000,3.8,0.438123,0.928429,0.4718971509937755,AZ91_fs20_T865.0_shearYZ_gdot0.0\rdf.production.AZ91.fs20.T865.0.gdot0.0.dat
20,865.0,0.001,500000,3.8,0.426118,0.91799,0.4641858843778255,AZ91_fs20_T865.0_shearYZ_gdot0.001\rdf.production.AZ91.fs20.T865.0.gdot0.001.dat
20,865.0,0.005,100000,3.8,0.419658,0.902823,0.4648286541215719,AZ91_fs20_T865.0_shearYZ_gdot0.005\rdf.production.AZ91.fs20.T865.0.gdot0.005.dat
20,865.0,0.01,50000,3.8,0.426908,0.902924,0.4728061276475097,AZ91_fs20_T865.0_shearYZ_gdot0.01\rdf.production.AZ91.fs20.T865.0.gdot0.01.dat
20,865.0,0.02,25000,3.8,0.427862,0.903536,0.47354172938322325,AZ91_fs20_T865.0_shearYZ_gdot0.02\rdf.production.AZ91.fs20.T865.0.gdot0.02.dat
40,852.0,0.0,500000,3.8,0.51299,0.966163,0.530955956707098,AZ91_fs40_T852.0_shearYZ_gdot0.0\rdf.production.AZ91.fs40.T852.0.gdot0.0.dat
40,852.0,0.001,500000,3.8,0.488892,0.959348,0.5096086091804017,AZ91_fs40_T852.0_shearYZ_gdot0.001\rdf.production.AZ91.fs40.T852.0.gdot0.001.dat
40,852.0,0.005,100000,3.8,0.493922,0.925614,0.5336155243978592,AZ91_fs40_T852.0_shearYZ_gdot0.005\rdf.production.AZ91.fs40.T852.0.gdot0.005.dat
40,852.0,0.01,50000,3.8,0.505902,0.919978,0.5499066282019788,AZ91_fs40_T852.0_shearYZ_gdot0.01\rdf.production.AZ91.fs40.T852.0.gdot0.01.dat
40,852.0,0.02,25000,3.8,0.502741,0.91978,0.5465883145969688,AZ91_fs40_T852.0_shearYZ_gdot0.02\rdf.production.AZ91.fs40.T852.0.gdot0.02.dat
60,833.0,0.0,500000,3.8,0.541805,0.977934,0.554030231078989,AZ91_fs60_T833.0_shearYZ_gdot0.0\rdf.production.AZ91.fs60.T833.0.gdot0.0.dat
60,833.0,0.001,500000,3.8,0.543938,0.973738,0.5586081677001411,AZ91_fs60_T833.0_shearYZ_gdot0.001\rdf.production.AZ91.fs60.T833.0.gdot0.001.dat
60,833.0,0.005,100000,3.8,0.540689,0.938633,0.5760387712769527,AZ91_fs60_T833.0_shearYZ_gdot0.005\rdf.production.AZ91.fs60.T833.0.gdot0.005.dat
60,833.0,0.01,50000,3.8,0.533388,0.931843,0.572401144828045,AZ91_fs60_T833.0_shearYZ_gdot0.01\rdf.production.AZ91.fs60.T833.0.gdot0.01.dat
60,833.0,0.02,25000,3.8,0.539597,0.928465,0.5811710726844846,AZ91_fs60_T833.0_shearYZ_gdot0.02\rdf.production.AZ91.fs60.T833.0.gdot0.02.dat
80,813.0,0.0,500000,3.8,0.574898,0.983216,0.5847118028998715,AZ91_fs80_T813.0_shearYZ_gdot0.0\rdf.production.AZ91.fs80.T813.0.gdot0.0.dat
80,813.0,0.001,500000,3.8,0.556244,0.972309,0.5720856229861083,AZ91_fs80_T813.0_shearYZ_gdot0.001\rdf.production.AZ91.fs80.T813.0.gdot0.001.dat
80,813.0,0.005,100000,3.8,0.56283,0.945469,0.5952918604417491,AZ91_fs80_T813.0_shearYZ_gdot0.005\rdf.production.AZ91.fs80.T813.0.gdot0.005.dat
80,813.0,0.01,50000,3.8,0.567484,0.938026,0.6049768343308181,AZ91_fs80_T813.0_shearYZ_gdot0.01\rdf.production.AZ91.fs80.T813.0.gdot0.01.dat
80,813.0,0.02,25000,3.8,0.567233,0.93276,0.6081232042540418,AZ91_fs80_T813.0_shearYZ_gdot0.02\rdf.production.AZ91.fs80.T813.0.gdot0.02.dat
