fs,T,gdot,rdf_timestep,AlAl_peak,r_AlAl_peak_A,peak_rmin_A,peak_rmax_A,rdf_file
20,865.0,0.0,500000,1.46142,2.895,2.5,3.6,AZ91_fs20_T865.0_shearYZ_gdot0.0\rdf.production.AZ91.fs20.T865.0.gdot0.0.dat
20,865.0,0.001,500000,1.50435,2.805,2.5,3.6,AZ91_fs20_T865.0_shearYZ_gdot0.001\rdf.production.AZ91.fs20.T865.0.gdot0.001.dat
20,865.0,0.005,100000,1.60098,2.775,2.5,3.6,AZ91_fs20_T865.0_shearYZ_gdot0.005\rdf.production.AZ91.fs20.T865.0.gdot0.005.dat
20,865.0,0.01,50000,1.66622,2.775,2.5,3.6,AZ91_fs20_T865.0_shearYZ_gdot0.01\rdf.production.AZ91.fs20.T865.0.gdot0.01.dat
20,865.0,0.02,25000,1.7145,2.775,2.5,3.6,AZ91_fs20_T865.0_shearYZ_gdot0.02\rdf.production.AZ91.fs20.T865.0.gdot0.02.dat
40,852.0,0.0,500000,1.51958,2.985,2.5,3.6,AZ91_fs40_T852.0_shearYZ_gdot0.0\rdf.production.AZ91.fs40.T852.0.gdot0.0.dat
40,852.0,0.001,500000,1.4816,2.835,2.5,3.6,AZ91_fs40_T852.0_shearYZ_gdot0.001\rdf.production.AZ91.fs40.T852.0.gdot0.001.dat
40,852.0,0.005,100000,1.67813,2.805,2.5,3.6,AZ91_fs40_T852.0_shearYZ_gdot0.005\rdf.production.AZ91.fs40.T852.0.gdot0.005.dat
40,852.0,0.01,50000,1.75606,2.805,2.5,3.6,AZ91_fs40_T852.0_shearYZ_gdot0.01\rdf.production.AZ91.fs40.T852.0.gdot0.01.dat
40,852.0,0.02,25000,1.79252,2.805,2.5,3.6,AZ91_fs40_T852.0_shearYZ_gdot0.02\rdf.production.AZ91.fs40.T852.0.gdot0.02.dat
60,833.0,0.0,500000,1.59587,2.925,2.5,3.6,AZ91_fs60_T833.0_shearYZ_gdot0.0\rdf.production.AZ91.fs60.T833.0.gdot0.0.dat
60,833.0,0.001,500000,1.60277,2.985,2.5,3.6,AZ91_fs60_T833.0_shearYZ_gdot0.001\rdf.production.AZ91.fs60.T833.0.gdot0.001.dat
60,833.0,0.005,100000,1.76344,2.835,2.5,3.6,AZ91_fs60_T833.0_shearYZ_gdot0.005\rdf.production.AZ91.fs60.T833.0.gdot0.005.dat
60,833.0,0.01,50000,1.81756,2.805,2.5,3.6,AZ91_fs60_T833.0_shearYZ_gdot0.01\rdf.production.AZ91.fs60.T833.0.gdot0.01.dat
60,833.0,0.02,25000,1.87237,2.805,2.5,3.6,AZ91_fs60_T833.0_shearYZ_gdot0.02\rdf.production.AZ91.fs60.T833.0.gdot0.02.dat
80,813.0,0.0,500000,1.71005,2.985,2.5,3.6,AZ91_fs80_T813.0_shearYZ_gdot0.0\rdf.production.AZ91.fs80.T813.0.gdot0.0.dat
80,813.0,0.001,500000,1.72932,2.955,2.5,3.6,AZ91_fs80_T813.0_shearYZ_gdot0.001\rdf.production.AZ91.fs80.T813.0.gdot0.001.dat
80,813.0,0.005,100000,1.7745,2.835,2.5,3.6,AZ91_fs80_T813.0_shearYZ_gdot0.005\rdf.production.AZ91.fs80.T813.0.gdot0.005.dat
80,813.0,0.01,50000,1.8658,2.865,2.5,3.6,AZ91_fs80_T813.0_shearYZ_gdot0.01\rdf.production.AZ91.fs80.T813.0.gdot0.01.dat
80,813.0,0.02,25000,1.97706,2.835,2.5,3.6,AZ91_fs80_T813.0_shearYZ_gdot0.02\rdf.production.AZ91.fs80.T813.0.gdot0.02.dat
