frame_index,timestep,n_atoms,n_alrich_al,f_eta_ge2_percent,f_eta_ge3_percent,n_ge5,n_ge7,max_size,fs,gdot,folder,dump_file
80,400000,193662,2713,8.391424233974657,0.636676271028906,11,1,8,20,0.0,AZ91_fs20_T865.0_shearYZ_gdot0.0,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.0.lammpstrj
81,405000,193662,2730,8.512769670869865,0.6072435480373021,13,0,6,20,0.0,AZ91_fs20_T865.0_shearYZ_gdot0.0,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.0.lammpstrj
82,410000,193662,2696,8.483853311439518,0.6155053650174014,13,0,6,20,0.0,AZ91_fs20_T865.0_shearYZ_gdot0.0,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.0.lammpstrj
83,415000,193662,2723,8.498311491154691,0.629447181171319,9,0,6,20,0.0,AZ91_fs20_T865.0_shearYZ_gdot0.0,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.0.lammpstrj
84,420000,193662,2759,8.380064235627021,0.6392580888351871,15,1,7,20,0.0,AZ91_fs20_T865.0_shearYZ_gdot0.0,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.0.lammpstrj
85,425000,193662,2713,8.467846041040577,0.6129235472111204,9,1,7,20,0.0,AZ91_fs20_T865.0_shearYZ_gdot0.0,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.0.lammpstrj
86,430000,193662,2619,8.27111152420196,0.5829744606582602,13,0,6,20,0.0,AZ91_fs20_T865.0_shearYZ_gdot0.0,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.0.lammpstrj
87,435000,193662,2654,8.406915140812343,0.5969162768121778,6,0,5,20,0.0,AZ91_fs20_T865.0_shearYZ_gdot0.0,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.0.lammpstrj
88,440000,193662,2548,8.261816980099349,0.5969162768121778,11,0,6,20,0.0,AZ91_fs20_T865.0_shearYZ_gdot0.0,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.0.lammpstrj
89,445000,193662,2692,8.36922060084064,0.6232508184362445,10,1,8,20,0.0,AZ91_fs20_T865.0_shearYZ_gdot0.0,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.0.lammpstrj
90,450000,193662,2624,8.370253327963152,0.6253162726812694,14,2,7,20,0.0,AZ91_fs20_T865.0_shearYZ_gdot0.0,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.0.lammpstrj
91,455000,193662,2716,8.396071506025962,0.6531999049891047,11,1,7,20,0.0,AZ91_fs20_T865.0_shearYZ_gdot0.0,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.0.lammpstrj
92,460000,193662,2698,8.549947847280313,0.6273817269262942,11,0,6,20,0.0,AZ91_fs20_T865.0_shearYZ_gdot0.0,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.0.lammpstrj
93,465000,193662,2817,8.565438754117999,0.6155053650174014,10,0,6,20,0.0,AZ91_fs20_T865.0_shearYZ_gdot0.0,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.0.lammpstrj
94,470000,193662,2777,8.578347843149405,0.678501719490659,17,0,6,20,0.0,AZ91_fs20_T865.0_shearYZ_gdot0.0,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.0.lammpstrj
95,475000,193662,2739,8.469395131724344,0.6531999049891047,10,2,7,20,0.0,AZ91_fs20_T865.0_shearYZ_gdot0.0,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.0.lammpstrj
96,480000,193662,2720,8.490049674174593,0.6206690006299636,11,1,7,20,0.0,AZ91_fs20_T865.0_shearYZ_gdot0.0,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.0.lammpstrj
97,485000,193662,2681,8.365606055911847,0.589687186954591,6,0,6,20,0.0,AZ91_fs20_T865.0_shearYZ_gdot0.0,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.0.lammpstrj
98,490000,193662,2624,8.292282430213465,0.5814253699744917,20,2,7,20,0.0,AZ91_fs20_T865.0_shearYZ_gdot0.0,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.0.lammpstrj
99,495000,193662,2651,8.3201660625213,0.5963999132509218,6,0,6,20,0.0,AZ91_fs20_T865.0_shearYZ_gdot0.0,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.0.lammpstrj
100,500000,193662,2731,8.382646053433302,0.6186035463849388,13,2,7,20,0.0,AZ91_fs20_T865.0_shearYZ_gdot0.0,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.0.lammpstrj
80,400000,193662,2648,8.451322407080378,0.5736799165556485,10,0,6,20,0.001,AZ91_fs20_T865.0_shearYZ_gdot0.001,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.001.lammpstrj
81,405000,193662,2593,8.380580599188276,0.5556071919116812,12,1,7,20,0.001,AZ91_fs20_T865.0_shearYZ_gdot0.001,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.001.lammpstrj
82,410000,193662,2688,8.326362425256374,0.5865890055870537,13,1,7,20,0.001,AZ91_fs20_T865.0_shearYZ_gdot0.001,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.001.lammpstrj
83,415000,193662,2647,8.372835145769434,0.5984653674959466,8,0,6,20,0.001,AZ91_fs20_T865.0_shearYZ_gdot0.001,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.001.lammpstrj
84,420000,193662,2717,8.442027862977765,0.5602544639629871,9,0,6,20,0.001,AZ91_fs20_T865.0_shearYZ_gdot0.001,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.001.lammpstrj
85,425000,193662,2695,8.393489688219681,0.6062108209147897,7,2,9,20,0.001,AZ91_fs20_T865.0_shearYZ_gdot0.001,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.001.lammpstrj
86,430000,193662,2696,8.350631512635417,0.5757453708006733,19,1,8,20,0.001,AZ91_fs20_T865.0_shearYZ_gdot0.001,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.001.lammpstrj
87,435000,193662,2757,8.45080604351912,0.5860726420257976,6,1,8,20,0.001,AZ91_fs20_T865.0_shearYZ_gdot0.001,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.001.lammpstrj
88,440000,193662,2617,8.323780607450093,0.5643853724530367,11,3,7,20,0.001,AZ91_fs20_T865.0_shearYZ_gdot0.001,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.001.lammpstrj
89,445000,193662,2711,8.412595139986163,0.5829744606582602,12,4,9,20,0.001,AZ91_fs20_T865.0_shearYZ_gdot0.001,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.001.lammpstrj
90,450000,193662,2668,8.309838791296176,0.5860726420257976,17,1,7,20,0.001,AZ91_fs20_T865.0_shearYZ_gdot0.001,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.001.lammpstrj
91,455000,193662,2699,8.43324968243641,0.6082762751598145,12,0,6,20,0.001,AZ91_fs20_T865.0_shearYZ_gdot0.001,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.001.lammpstrj
92,460000,193662,2707,8.348049694829134,0.5850399149032851,9,1,7,20,0.001,AZ91_fs20_T865.0_shearYZ_gdot0.001,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.001.lammpstrj
93,465000,193662,2629,8.240646074087845,0.5855562784645413,14,0,6,20,0.001,AZ91_fs20_T865.0_shearYZ_gdot0.001,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.001.lammpstrj
94,470000,193662,2697,8.380064235627021,0.5716144623106237,13,1,7,20,0.001,AZ91_fs20_T865.0_shearYZ_gdot0.001,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.001.lammpstrj
95,475000,193662,2698,8.475591494459419,0.5783271886069543,13,0,6,20,0.001,AZ91_fs20_T865.0_shearYZ_gdot0.001,dump.production.Alrich.AZ91.fs20.T865.0.gdot0.001.lammpstrj
