fs,gdot,alrich_al_atoms_value,alrich_al_atoms_baseline,alrich_al_atoms_relative_change_percent,f_eta_ge3_value,f_eta_ge3_baseline,f_eta_ge3_relative_change_percent,n_clusters_ge5_value,n_clusters_ge5_baseline,n_clusters_ge5_relative_change_percent,nmax_value,nmax_baseline,nmax_relative_change_percent
20,0.001,2691.428571428572,2696.428571428572,-0.1854304635761589,0.5815237249385404,0.6190953212051827,-6.0687902136786125,11.80952380952381,11.38095238095238,3.7656903765690557,7.0,6.523809523809524,7.299270072992702
20,0.005,2808.5238095238096,2696.428571428572,4.157174392935964,0.6342419856686982,0.6190953212051827,2.4465803479227817,13.142857142857142,11.38095238095238,15.481171548117164,7.380952380952381,6.523809523809524,13.138686131386871
20,0.01,2829.809523809524,2696.428571428572,4.9465783664458955,0.6336272671433931,0.6190953212051827,2.347287314322015,15.523809523809524,11.38095238095238,36.40167364016738,7.714285714285714,6.523809523809524,18.248175182481756
20,0.02,2900.333333333333,2696.428571428572,7.562030905077228,0.6682973919705959,0.6190953212051827,7.947414409405049,19.857142857142858,11.38095238095238,74.47698744769878,8.285714285714286,6.523809523809524,27.007299270073005
40,0.001,2632.9523809523807,2671.5238095238096,-1.443798795051882,0.6700677813234742,0.7291299372347797,-8.100360840387147,16.857142857142858,21.142857142857142,-20.270270270270267,8.095238095238095,8.142857142857142,-0.5847953216374249
40,0.005,2941.1428571428573,2671.5238095238096,10.092331824177394,0.7692341738256787,0.7291299372347797,5.500286648905688,29.142857142857142,21.142857142857142,37.83783783783784,8.952380952380953,8.142857142857142,9.941520467836266
40,0.01,2996.714285714286,2671.5238095238096,12.17247156964101,0.7848726131094382,0.7291299372347797,7.645094931372897,31.047619047619047,21.142857142857142,46.84684684684685,8.904761904761905,8.142857142857142,9.35672514619884
40,0.02,3034.5238095238096,2671.5238095238096,13.587750882321487,0.818239534662994,0.7291299372347797,12.221360401982926,34.23809523809524,21.142857142857142,61.936936936936945,9.047619047619047,8.142857142857142,11.111111111111116
60,0.001,2615.333333333333,2609.8571428571427,0.20982721185249645,0.7278759114431574,0.7450634414106856,-2.3068545592554757,20.047619047619047,19.714285714285715,1.6908212560386413,7.571428571428571,8.0,-5.35714285714286
60,0.005,2937.1428571428573,2609.8571428571427,12.540368930975987,0.8268947714992886,0.7450634414106856,10.983135870103286,35.38095238095238,19.714285714285715,79.46859903381642,11.047619047619047,8.0,38.095238095238095
60,0.01,3006.285714285714,2609.8571428571427,15.189665553670157,0.8427053319701336,0.7450634414106856,13.105178046929158,39.57142857142857,19.714285714285715,100.72463768115941,10.476190476190476,8.0,30.952380952380953
60,0.02,3084.904761904762,2609.8571428571427,18.202054482091715,0.8506474953170744,0.7450634414106856,14.171149467014304,35.904761904761905,19.714285714285715,82.12560386473429,9.095238095238097,8.0,13.690476190476208
80,0.001,2716.285714285714,2642.333333333333,2.798752905981375,0.760062573428128,0.8091908779705042,-6.071287489744408,26.33333333333333,23.428571428571427,12.398373983739825,8.761904761904763,9.476190476190476,-7.5376884422110475
80,0.005,3009.5714285714284,2642.333333333333,13.898250103624148,0.8925221212608515,0.8091908779705042,10.298094746118093,42.23809523809524,23.428571428571427,80.28455284552848,11.476190476190476,9.476190476190476,21.105527638190953
80,0.01,3112.714285714286,2642.333333333333,17.801726468309052,0.908283504249672,0.8091908779705042,12.245890182017085,45.61904761904762,23.428571428571427,94.71544715447156,11.857142857142858,9.476190476190476,25.125628140703522
80,0.02,3101.619047619048,2642.333333333333,17.38182342446254,0.9016199554353658,0.8091908779705042,11.42240724421893,41.85714285714285,23.428571428571427,78.65853658536582,9.761904761904765,9.476190476190476,3.0150753768844485
