fs,gdot,alrich_al_atoms_relative_change_percent,f_eta_ge3_relative_change_percent,n_clusters_ge5_relative_change_percent,nmax_relative_change_percent
20,0.001,-0.1854304635761589,-6.0687902136786125,3.7656903765690557,7.299270072992702
20,0.005,4.157174392935964,2.4465803479227817,15.481171548117164,13.138686131386871
20,0.01,4.9465783664458955,2.347287314322015,36.40167364016738,18.248175182481756
20,0.02,7.562030905077228,7.947414409405049,74.47698744769878,27.007299270073005
40,0.001,-1.443798795051882,-8.100360840387147,-20.270270270270267,-0.5847953216374249
40,0.005,10.092331824177394,5.500286648905688,37.83783783783784,9.941520467836266
40,0.01,12.17247156964101,7.645094931372897,46.84684684684685,9.35672514619884
40,0.02,13.587750882321487,12.221360401982926,61.936936936936945,11.111111111111116
60,0.001,0.20982721185249645,-2.3068545592554757,1.6908212560386413,-5.35714285714286
60,0.005,12.540368930975987,10.983135870103286,79.46859903381642,38.095238095238095
60,0.01,15.189665553670157,13.105178046929158,100.72463768115941,30.952380952380953
60,0.02,18.202054482091715,14.171149467014304,82.12560386473429,13.690476190476208
80,0.001,2.798752905981375,-6.071287489744408,12.398373983739825,-7.5376884422110475
80,0.005,13.898250103624148,10.298094746118093,80.28455284552848,21.105527638190953
80,0.01,17.801726468309052,12.245890182017085,94.71544715447156,25.125628140703522
80,0.02,17.38182342446254,11.42240724421893,78.65853658536582,3.0150753768844485
