fs,gdot,n_frames_total,n_frames_used,step_start_used,step_end_used,f_disordered_rich_percent,R_disordered,f_disordered_overall_percent,f_unknown_rich_percent,R_unknown_rich,fUnknown_overall_percent,source_file
20,0.0,100,20,405000,500000,65.29185937884816,1.1785744466594532,55.41627,65.29185937884816,1.1785744466594532,55.41627,C:\Users\Donkey\Desktop\数据\团簇\AZ91_fs20_T865.0_shearYZ_gdot0.0\stat.production.AZ91.fs20.T865.0.gdot0.0.dat
20,0.001,100,20,405000,500000,74.99276201332374,1.1134186003625797,67.376215,74.99276201332374,1.1134186003625797,67.376215,C:\Users\Donkey\Desktop\数据\团簇\AZ91_fs20_T865.0_shearYZ_gdot0.001\stat.production.AZ91.fs20.T865.0.gdot0.001.dat
20,0.005,100,20,81000,100000,83.2942015243734,1.044672357322932,79.73222500000001,83.2942015243734,1.044672357322932,79.73222500000001,C:\Users\Donkey\Desktop\数据\团簇\AZ91_fs20_T865.0_shearYZ_gdot0.005\stat.production.AZ91.fs20.T865.0.gdot0.005.dat
20,0.01,100,20,40500,50000,83.14340009375299,1.0345772450476196,80.36457999999999,83.14340009375299,1.0345772450476196,80.36457999999999,C:\Users\Donkey\Desktop\数据\团簇\AZ91_fs20_T865.0_shearYZ_gdot0.01\stat.production.AZ91.fs20.T865.0.gdot0.01.dat
20,0.02,100,20,20250,25000,82.39979550251813,1.033894759447967,79.69934,82.39979550251813,1.033894759447967,79.69934,C:\Users\Donkey\Desktop\数据\团簇\AZ91_fs20_T865.0_shearYZ_gdot0.02\stat.production.AZ91.fs20.T865.0.gdot0.02.dat
40,0.0,100,20,405000,500000,30.090763735547167,1.3972562560088861,21.55396,30.090763735547167,1.3972562560088861,21.55396,C:\Users\Donkey\Desktop\数据\团簇\AZ91_fs40_T852.0_shearYZ_gdot0.0\stat.production.AZ91.fs40.T852.0.gdot0.0.dat
40,0.001,100,20,405000,500000,41.26158786403947,1.3126196458061319,31.45718,41.26158786403947,1.3126196458061319,31.45718,C:\Users\Donkey\Desktop\数据\团簇\AZ91_fs40_T852.0_shearYZ_gdot0.001\stat.production.AZ91.fs40.T852.0.gdot0.001.dat
40,0.005,100,20,81000,100000,65.60263445658225,1.1220714877987068,58.46574499999999,65.60263445658225,1.1220714877987068,58.46574499999999,C:\Users\Donkey\Desktop\数据\团簇\AZ91_fs40_T852.0_shearYZ_gdot0.005\stat.production.AZ91.fs40.T852.0.gdot0.005.dat
40,0.01,100,20,40500,50000,68.86619778118153,1.091695766448392,63.08432500000001,68.86619778118153,1.091695766448392,63.08432500000001,C:\Users\Donkey\Desktop\数据\团簇\AZ91_fs40_T852.0_shearYZ_gdot0.01\stat.production.AZ91.fs40.T852.0.gdot0.01.dat
40,0.02,100,20,20250,25000,69.03528824298691,1.0815494573826199,63.83139,69.03528824298691,1.0815494573826199,63.83139,C:\Users\Donkey\Desktop\数据\团簇\AZ91_fs40_T852.0_shearYZ_gdot0.02\stat.production.AZ91.fs40.T852.0.gdot0.02.dat
