fs,T,gdot,folder,stat_file,n_frames_total,n_frames_used,last_fraction,step_start_used,step_end_used,E_rich_eV_atom,E_rich_std_eV_atom,E_matrix_eV_atom,E_matrix_std_eV_atom,dE_rich_matrix_eV_atom,dE_rich_matrix_std_eV_atom,dE_baseline_eV_atom,delta_dE_vs_noshear_eV_atom,energy_stabilization_eV_atom,peRichAve_col,peMatrixAve_col,dPeRichMatrix_col,alloy
20,865.0,0.0,AZ91_fs20_T865.0_shearYZ_gdot0.0,AZ91_fs20_T865.0_shearYZ_gdot0.0\stat.production.AZ91.fs20.T865.0.gdot0.0.dat,100,20,0.2,405000.0,500000.0,-1.7041135,0.001760574891155838,-1.4900745000000002,0.0011553285019285536,-0.2140383,0.0018788500430344426,-0.2140383,0.0,-0.0,v_peRichAve,v_peMatrixAve,v_dPeRichMatrix,AZ91
20,865.0,0.001,AZ91_fs20_T865.0_shearYZ_gdot0.001,AZ91_fs20_T865.0_shearYZ_gdot0.001\stat.production.AZ91.fs20.T865.0.gdot0.001.dat,100,20,0.2,405000.0,500000.0,-1.6985290000000002,0.0022055382443676693,-1.4816099999999999,0.001364628347322359,-0.21691834999999998,0.001890299510520407,-0.2140383,-0.002880049999999995,0.002880049999999995,v_peRichAve,v_peMatrixAve,v_dPeRichMatrix,AZ91
20,865.0,0.005,AZ91_fs20_T865.0_shearYZ_gdot0.005,AZ91_fs20_T865.0_shearYZ_gdot0.005\stat.production.AZ91.fs20.T865.0.gdot0.005.dat,100,20,0.2,81000.0,100000.0,-1.6992955000000003,0.0015980661833340448,-1.471908,0.0002719442667358737,-0.22738889999999995,0.0017627422088146772,-0.2140383,-0.013350599999999962,0.013350599999999962,v_peRichAve,v_peMatrixAve,v_dPeRichMatrix,AZ91
20,865.0,0.01,AZ91_fs20_T865.0_shearYZ_gdot0.01,AZ91_fs20_T865.0_shearYZ_gdot0.01\stat.production.AZ91.fs20.T865.0.gdot0.01.dat,100,20,0.2,40500.0,50000.0,-1.7025510000000001,0.0026770700794948032,-1.4717019999999998,0.0002204445269760307,-0.23084855,0.002844124293586417,-0.2140383,-0.016810250000000027,0.016810250000000027,v_peRichAve,v_peMatrixAve,v_dPeRichMatrix,AZ91
20,865.0,0.02,AZ91_fs20_T865.0_shearYZ_gdot0.02,AZ91_fs20_T865.0_shearYZ_gdot0.02\stat.production.AZ91.fs20.T865.0.gdot0.02.dat,100,20,0.2,20250.0,25000.0,-1.7072969999999998,0.002128382385509546,-1.4734795,0.0003997166759751712,-0.23381715,0.0024342156690984095,-0.2140383,-0.019778850000000014,0.019778850000000014,v_peRichAve,v_peMatrixAve,v_dPeRichMatrix,AZ91
40,852.0,0.0,AZ91_fs40_T852.0_shearYZ_gdot0.0,AZ91_fs40_T852.0_shearYZ_gdot0.0\stat.production.AZ91.fs40.T852.0.gdot0.0.dat,100,20,0.2,405000.0,500000.0,-1.7390265,0.001708549015054036,-1.5224815,0.0005909428238439519,-0.21654564999999998,0.0015833598944217215,-0.21654564999999998,0.0,-0.0,v_peRichAve,v_peMatrixAve,v_dPeRichMatrix,AZ91
40,852.0,0.001,AZ91_fs40_T852.0_shearYZ_gdot0.001,AZ91_fs40_T852.0_shearYZ_gdot0.001\stat.production.AZ91.fs40.T852.0.gdot0.001.dat,100,20,0.2,405000.0,500000.0,-1.7309115,0.0015432681487503447,-1.5152765000000001,0.0021239121673780944,-0.2156338,0.0031059678311954647,-0.21654564999999998,0.0009118499999999918,-0.0009118499999999918,v_peRichAve,v_peMatrixAve,v_dPeRichMatrix,AZ91
40,852.0,0.005,AZ91_fs40_T852.0_shearYZ_gdot0.005,AZ91_fs40_T852.0_shearYZ_gdot0.005\stat.production.AZ91.fs40.T852.0.gdot0.005.dat,100,20,0.2,81000.0,100000.0,-1.729605,0.0014120366030740971,-1.4939144999999998,0.00023329391897684352,-0.23569179999999998,0.0015594135739876182,-0.21654564999999998,-0.01914615,0.01914615,v_peRichAve,v_peMatrixAve,v_dPeRichMatrix,AZ91
40,852.0,0.01,AZ91_fs40_T852.0_shearYZ_gdot0.01,AZ91_fs40_T852.0_shearYZ_gdot0.01\stat.production.AZ91.fs40.T852.0.gdot0.01.dat,100,20,0.2,40500.0,50000.0,-1.730806,0.0015902048858393732,-1.490177,0.00024238073572922613,-0.24062820000000001,0.0016790258015007612,-0.21654564999999998,-0.024082550000000036,0.024082550000000036,v_peRichAve,v_peMatrixAve,v_dPeRichMatrix,AZ91
40,852.0,0.02,AZ91_fs40_T852.0_shearYZ_gdot0.02,AZ91_fs40_T852.0_shearYZ_gdot0.02\stat.production.AZ91.fs40.T852.0.gdot0.02.dat,100,20,0.2,20250.0,25000.0,-1.7313234999999998,0.0024030096808618584,-1.4906485000000003,0.0005160403391004811,-0.2406755,0.002457338343989709,-0.21654564999999998,-0.024129850000000008,0.024129850000000008,v_peRichAve,v_peMatrixAve,v_dPeRichMatrix,AZ91
60,833.0,0.0,AZ91_fs60_T833.0_shearYZ_gdot0.0,AZ91_fs60_T833.0_shearYZ_gdot0.0\stat.production.AZ91.fs60.T833.0.gdot0.0.dat,100,20,0.2,405000.0,500000.0,-1.75067,0.0009450647429785097,-1.5331645,0.001738131104618426,-0.217504,0.0016747395084169459,-0.217504,0.0,-0.0,v_peRichAve,v_peMatrixAve,v_dPeRichMatrix,AZ91
60,833.0,0.001,AZ91_fs60_T833.0_shearYZ_gdot0.001,AZ91_fs60_T833.0_shearYZ_gdot0.001\stat.production.AZ91.fs60.T833.0.gdot0.001.dat,100,20,0.2,405000.0,500000.0,-1.7461679999999997,0.0015982444316054488,-1.5290084999999998,0.002072857867014084,-0.21715795000000004,0.0016669748040592657,-0.217504,0.0003460499999999589,-0.0003460499999999589,v_peRichAve,v_peMatrixAve,v_dPeRichMatrix,AZ91
60,833.0,0.005,AZ91_fs60_T833.0_shearYZ_gdot0.005,AZ91_fs60_T833.0_shearYZ_gdot0.005\stat.production.AZ91.fs60.T833.0.gdot0.005.dat,100,20,0.2,81000.0,100000.0,-1.7447105,0.0013015799104004165,-1.507564,0.00022725825791261885,-0.237146,0.0014421278503801622,-0.217504,-0.019641999999999993,0.019641999999999993,v_peRichAve,v_peMatrixAve,v_dPeRichMatrix,AZ91
60,833.0,0.01,AZ91_fs60_T833.0_shearYZ_gdot0.01,AZ91_fs60_T833.0_shearYZ_gdot0.01\stat.production.AZ91.fs60.T833.0.gdot0.01.dat,100,20,0.2,40500.0,50000.0,-1.7444945,0.0021431960270881273,-1.5030550000000003,0.00024748205676584293,-0.24143980000000004,0.002283990012882584,-0.217504,-0.023935800000000035,0.023935800000000035,v_peRichAve,v_peMatrixAve,v_dPeRichMatrix,AZ91
60,833.0,0.02,AZ91_fs60_T833.0_shearYZ_gdot0.02,AZ91_fs60_T833.0_shearYZ_gdot0.02\stat.production.AZ91.fs60.T833.0.gdot0.02.dat,100,20,0.2,20250.0,25000.0,-1.7462385,0.00200589991616836,-1.50094,0.0002873655291930858,-0.24529900000000002,0.0019274135655410302,-0.217504,-0.027795000000000014,0.027795000000000014,v_peRichAve,v_peMatrixAve,v_dPeRichMatrix,AZ91
80,813.0,0.0,AZ91_fs80_T813.0_shearYZ_gdot0.0,AZ91_fs80_T813.0_shearYZ_gdot0.0\stat.production.AZ91.fs80.T813.0.gdot0.0.dat,100,20,0.2,405000.0,500000.0,-1.7650385,0.0011297986546283266,-1.540931,0.001023435391219223,-0.22410739999999998,0.0018106440959242264,-0.22410739999999998,0.0,-0.0,v_peRichAve,v_peMatrixAve,v_dPeRichMatrix,AZ91
80,813.0,0.001,AZ91_fs80_T813.0_shearYZ_gdot0.001,AZ91_fs80_T813.0_shearYZ_gdot0.001\stat.production.AZ91.fs80.T813.0.gdot0.001.dat,100,20,0.2,405000.0,500000.0,-1.755332,0.0015832664436470907,-1.5317465000000001,0.0006779945272252291,-0.22358625000000001,0.002048808713554496,-0.22410739999999998,0.0005211499999999702,-0.0005211499999999702,v_peRichAve,v_peMatrixAve,v_dPeRichMatrix,AZ91
80,813.0,0.005,AZ91_fs80_T813.0_shearYZ_gdot0.005,AZ91_fs80_T813.0_shearYZ_gdot0.005\stat.production.AZ91.fs80.T813.0.gdot0.005.dat,100,20,0.2,81000.0,100000.0,-1.758753,0.0018411212258895705,-1.515045,0.00022926656514794593,-0.24370765,0.0019529337788918625,-0.22410739999999998,-0.019600250000000013,0.019600250000000013,v_peRichAve,v_peMatrixAve,v_dPeRichMatrix,AZ91
80,813.0,0.01,AZ91_fs80_T813.0_shearYZ_gdot0.01,AZ91_fs80_T813.0_shearYZ_gdot0.01\stat.production.AZ91.fs80.T813.0.gdot0.01.dat,100,20,0.2,40500.0,50000.0,-1.7583955000000002,0.0011840718105890317,-1.5098734999999999,0.00017303102855300702,-0.24852260000000004,0.0012671890317175513,-0.22410739999999998,-0.024415200000000054,0.024415200000000054,v_peRichAve,v_peMatrixAve,v_dPeRichMatrix,AZ91
80,813.0,0.02,AZ91_fs80_T813.0_shearYZ_gdot0.02,AZ91_fs80_T813.0_shearYZ_gdot0.02\stat.production.AZ91.fs80.T813.0.gdot0.02.dat,100,20,0.2,20250.0,25000.0,-1.7566505,0.0012986044128419957,-1.5075875,0.00046921967697780026,-0.24906470000000006,0.001391819978528686,-0.22410739999999998,-0.02495730000000007,0.02495730000000007,v_peRichAve,v_peMatrixAve,v_dPeRichMatrix,AZ91
