frame,gdot,panel,parameter,rloc,eta_cut,n_al_total,n_rich_al,fraction_percent
81,0.0,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,4976,31.21118986389011
82,0.0,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,5020,31.48717305400489
83,0.0,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,4976,31.21118986389011
84,0.0,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,4981,31.242551590039515
85,0.0,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,5000,31.361726149407264
86,0.0,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,4863,30.502414852913503
87,0.0,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,4978,31.22373455434987
88,0.0,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,5056,31.712977482280625
89,0.0,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,5095,31.957598946246
90,0.0,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,4993,31.317819732798093
91,0.0,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,5046,31.65025402998181
92,0.0,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,5119,32.10813523176316
93,0.0,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,4981,31.242551590039515
94,0.0,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,5014,31.449538982625604
95,0.0,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,5001,31.367998494637146
96,0.0,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,5043,31.631436994292166
97,0.0,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,5020,31.48717305400489
98,0.0,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,5015,31.455811327855486
99,0.0,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,4995,31.330364423257855
100,0.0,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,4990,31.29900269710845
81,0.0,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2671,16.75343410901336
82,0.0,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2647,16.602897823496207
83,0.0,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2617,16.41472746659976
84,0.0,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2662,16.696983001944428
85,0.0,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2694,16.897698049300633
86,0.0,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2608,16.35827635953083
87,0.0,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2629,16.48999560935834
88,0.0,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2703,16.954149156369567
89,0.0,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2680,16.809885216082293
90,0.0,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2672,16.75970645424324
91,0.0,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2706,16.97296619205921
92,0.0,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2761,17.31794517970269
93,0.0,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2613,16.389638085680236
94,0.0,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2710,16.998055572978735
95,0.0,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2671,16.75343410901336
96,0.0,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2637,16.54017437119739
97,0.0,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2674,16.772251144703006
98,0.0,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2692,16.88515335884087
99,0.0,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2669,16.740889418553596
100,0.0,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2719,17.05450668004767
81,0.0,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1751,10.982876497522424
82,0.0,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1735,10.88251897384432
83,0.0,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1705,10.694348616947877
84,0.0,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1729,10.844884902465031
85,0.0,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1726,10.826067866775388
86,0.0,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1710,10.725710343097283
87,0.0,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1703,10.681803926488113
88,0.0,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1749,10.97033180706266
89,0.0,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1765,11.070689330740764
90,0.0,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1741,10.920153045223609
91,0.0,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1739,10.907608354763846
92,0.0,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1776,11.13968512826946
93,0.0,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1735,10.88251897384432
94,0.0,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1757,11.020510568901713
95,0.0,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1729,10.844884902465031
96,0.0,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1744,10.938970080913254
97,0.0,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1797,11.271404378096971
98,0.0,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1765,11.070689330740764
99,0.0,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1733,10.869974283384558
100,0.0,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1799,11.283949068556733
81,0.001,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,5004,31.38681553032679
82,0.001,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,4981,31.242551590039515
83,0.001,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,5000,31.361726149407264
84,0.001,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,4959,31.104559994982125
85,0.001,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,5116,32.08931819607351
86,0.001,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,4960,31.110832340212006
87,0.001,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,4888,30.65922348366054
88,0.001,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,4912,30.809759769177695
89,0.001,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,4950,31.04810888791319
90,0.001,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,4935,30.95402370946497
91,0.001,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,4994,31.324092078027974
92,0.001,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,4959,31.104559994982125
93,0.001,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,4939,30.979113090384494
94,0.001,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,4884,30.634134102741015
95,0.001,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,4867,30.52750423383303
96,0.001,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,4877,30.590227686131843
97,0.001,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,4815,30.201342281879196
98,0.001,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,4880,30.60904472182149
99,0.001,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,4939,30.979113090384494
100,0.001,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,4908,30.78467038825817
81,0.001,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2659,16.67816596625478
82,0.001,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2684,16.834974597001818
83,0.001,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2708,16.985510882518973
84,0.001,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2681,16.816157561312174
85,0.001,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2764,17.336762215392334
86,0.001,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2647,16.602897823496207
87,0.001,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2600,16.308097597691777
88,0.001,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2597,16.289280562002133
89,0.001,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2653,16.640531894875494
90,0.001,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2593,16.264191181082605
91,0.001,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2635,16.52762968073763
92,0.001,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2663,16.70325534717431
93,0.001,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2642,16.571536097346797
94,0.001,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2589,16.23910180016308
95,0.001,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2588,16.2328294549332
96,0.001,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2582,16.195195383553912
97,0.001,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2557,16.038386752806876
98,0.001,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2608,16.35827635953083
99,0.001,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2582,16.195195383553912
100,0.001,eta_sensitivity,eta_Al >= 2.0,5.0,2.0,15943,2577,16.163833657404503
81,0.001,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1748,10.964059461832779
82,0.001,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1790,11.227497961487801
83,0.001,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1860,11.666562127579502
84,0.001,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1814,11.378034247004955
85,0.001,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1846,11.578749294361161
86,0.001,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1776,11.13968512826946
87,0.001,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1740,10.913880699993728
88,0.001,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1713,10.744527378786929
89,0.001,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1716,10.763344414476572
90,0.001,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1687,10.58144640281001
91,0.001,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1692,10.612808128959418
92,0.001,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1736,10.888791319074201
93,0.001,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1691,10.606535783729537
94,0.001,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1650,10.349369629304396
95,0.001,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1671,10.481088879131907
96,0.001,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1655,10.380731355453804
97,0.001,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1630,10.223922724706767
98,0.001,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1690,10.600263438499654
99,0.001,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1645,10.31800790315499
100,0.001,eta_sensitivity,eta_Al >= 2.2,5.0,2.2,15943,1658,10.39954839114345
81,0.005,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,5134,32.202220410211375
82,0.005,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,5100,31.988960672395407
83,0.005,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,5112,32.06422881515399
84,0.005,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,5088,31.91369252963683
85,0.005,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,5124,32.13949695791256
86,0.005,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,5116,32.08931819607351
87,0.005,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,5081,31.86978611302766
88,0.005,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,5198,32.60365050492379
89,0.005,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,5249,32.923540111647746
90,0.005,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,5078,31.850969077338018
91,0.005,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,5095,31.957598946246
92,0.005,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,5133,32.19594806498149
93,0.005,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,5286,33.15561688515336
94,0.005,eta_sensitivity,eta_Al >= 1.8,5.0,1.8,15943,5137,32.221037445901025
