frame,gdot,panel,parameter,r_conn,nmin,n_al_total,n_rich_al_total,n_clusters,max_cluster_size
81,0.0,nmin_sensitivity,N_min = 4,3.5,4,15943,2671,61,7
82,0.0,nmin_sensitivity,N_min = 4,3.5,4,15943,2647,66,8
83,0.0,nmin_sensitivity,N_min = 4,3.5,4,15943,2617,61,10
84,0.0,nmin_sensitivity,N_min = 4,3.5,4,15943,2662,73,7
85,0.0,nmin_sensitivity,N_min = 4,3.5,4,15943,2694,63,9
86,0.0,nmin_sensitivity,N_min = 4,3.5,4,15943,2608,70,9
87,0.0,nmin_sensitivity,N_min = 4,3.5,4,15943,2629,68,8
88,0.0,nmin_sensitivity,N_min = 4,3.5,4,15943,2703,69,8
89,0.0,nmin_sensitivity,N_min = 4,3.5,4,15943,2680,71,8
90,0.0,nmin_sensitivity,N_min = 4,3.5,4,15943,2672,55,8
91,0.0,nmin_sensitivity,N_min = 4,3.5,4,15943,2706,58,8
92,0.0,nmin_sensitivity,N_min = 4,3.5,4,15943,2761,57,10
93,0.0,nmin_sensitivity,N_min = 4,3.5,4,15943,2613,66,8
94,0.0,nmin_sensitivity,N_min = 4,3.5,4,15943,2710,64,8
95,0.0,nmin_sensitivity,N_min = 4,3.5,4,15943,2671,78,8
96,0.0,nmin_sensitivity,N_min = 4,3.5,4,15943,2637,68,8
97,0.0,nmin_sensitivity,N_min = 4,3.5,4,15943,2674,67,8
98,0.0,nmin_sensitivity,N_min = 4,3.5,4,15943,2692,63,7
99,0.0,nmin_sensitivity,N_min = 4,3.5,4,15943,2669,53,8
100,0.0,nmin_sensitivity,N_min = 4,3.5,4,15943,2719,67,8
81,0.0,nmin_sensitivity,N_min = 5,3.5,5,15943,2671,19,7
82,0.0,nmin_sensitivity,N_min = 5,3.5,5,15943,2647,16,8
83,0.0,nmin_sensitivity,N_min = 5,3.5,5,15943,2617,21,10
84,0.0,nmin_sensitivity,N_min = 5,3.5,5,15943,2662,19,7
85,0.0,nmin_sensitivity,N_min = 5,3.5,5,15943,2694,20,9
86,0.0,nmin_sensitivity,N_min = 5,3.5,5,15943,2608,20,9
87,0.0,nmin_sensitivity,N_min = 5,3.5,5,15943,2629,24,8
88,0.0,nmin_sensitivity,N_min = 5,3.5,5,15943,2703,21,8
89,0.0,nmin_sensitivity,N_min = 5,3.5,5,15943,2680,26,8
90,0.0,nmin_sensitivity,N_min = 5,3.5,5,15943,2672,15,8
91,0.0,nmin_sensitivity,N_min = 5,3.5,5,15943,2706,21,8
92,0.0,nmin_sensitivity,N_min = 5,3.5,5,15943,2761,21,10
93,0.0,nmin_sensitivity,N_min = 5,3.5,5,15943,2613,20,8
94,0.0,nmin_sensitivity,N_min = 5,3.5,5,15943,2710,24,8
95,0.0,nmin_sensitivity,N_min = 5,3.5,5,15943,2671,18,8
96,0.0,nmin_sensitivity,N_min = 5,3.5,5,15943,2637,20,8
97,0.0,nmin_sensitivity,N_min = 5,3.5,5,15943,2674,26,8
98,0.0,nmin_sensitivity,N_min = 5,3.5,5,15943,2692,24,7
99,0.0,nmin_sensitivity,N_min = 5,3.5,5,15943,2669,22,8
100,0.0,nmin_sensitivity,N_min = 5,3.5,5,15943,2719,24,8
81,0.0,nmin_sensitivity,N_min = 6,3.5,6,15943,2671,10,7
82,0.0,nmin_sensitivity,N_min = 6,3.5,6,15943,2647,7,8
83,0.0,nmin_sensitivity,N_min = 6,3.5,6,15943,2617,9,10
84,0.0,nmin_sensitivity,N_min = 6,3.5,6,15943,2662,4,7
85,0.0,nmin_sensitivity,N_min = 6,3.5,6,15943,2694,5,9
86,0.0,nmin_sensitivity,N_min = 6,3.5,6,15943,2608,8,9
87,0.0,nmin_sensitivity,N_min = 6,3.5,6,15943,2629,6,8
88,0.0,nmin_sensitivity,N_min = 6,3.5,6,15943,2703,9,8
89,0.0,nmin_sensitivity,N_min = 6,3.5,6,15943,2680,8,8
90,0.0,nmin_sensitivity,N_min = 6,3.5,6,15943,2672,9,8
91,0.0,nmin_sensitivity,N_min = 6,3.5,6,15943,2706,10,8
92,0.0,nmin_sensitivity,N_min = 6,3.5,6,15943,2761,13,10
93,0.0,nmin_sensitivity,N_min = 6,3.5,6,15943,2613,8,8
94,0.0,nmin_sensitivity,N_min = 6,3.5,6,15943,2710,9,8
95,0.0,nmin_sensitivity,N_min = 6,3.5,6,15943,2671,5,8
96,0.0,nmin_sensitivity,N_min = 6,3.5,6,15943,2637,9,8
97,0.0,nmin_sensitivity,N_min = 6,3.5,6,15943,2674,10,8
98,0.0,nmin_sensitivity,N_min = 6,3.5,6,15943,2692,7,7
99,0.0,nmin_sensitivity,N_min = 6,3.5,6,15943,2669,5,8
100,0.0,nmin_sensitivity,N_min = 6,3.5,6,15943,2719,8,8
81,0.001,nmin_sensitivity,N_min = 4,3.5,4,15943,2659,56,7
82,0.001,nmin_sensitivity,N_min = 4,3.5,4,15943,2684,63,7
83,0.001,nmin_sensitivity,N_min = 4,3.5,4,15943,2708,60,10
84,0.001,nmin_sensitivity,N_min = 4,3.5,4,15943,2681,56,8
85,0.001,nmin_sensitivity,N_min = 4,3.5,4,15943,2764,52,8
86,0.001,nmin_sensitivity,N_min = 4,3.5,4,15943,2647,60,7
87,0.001,nmin_sensitivity,N_min = 4,3.5,4,15943,2600,49,9
88,0.001,nmin_sensitivity,N_min = 4,3.5,4,15943,2597,57,10
89,0.001,nmin_sensitivity,N_min = 4,3.5,4,15943,2653,55,8
90,0.001,nmin_sensitivity,N_min = 4,3.5,4,15943,2593,49,7
91,0.001,nmin_sensitivity,N_min = 4,3.5,4,15943,2635,57,8
92,0.001,nmin_sensitivity,N_min = 4,3.5,4,15943,2663,48,8
93,0.001,nmin_sensitivity,N_min = 4,3.5,4,15943,2642,51,8
