panel,gdot,parameter,r_conn,nmin,mean_n_clusters,std_n_clusters,mean_max_cluster_size,std_max_cluster_size,n_frames
nmin_sensitivity,0.0,N_min = 4,3.5,4,64.9,6.223047146653613,8.15,0.8127277008872489,20
nmin_sensitivity,0.0,N_min = 5,3.5,5,21.05,2.9819633235769167,8.15,0.8127277008872489,20
nmin_sensitivity,0.0,N_min = 6,3.5,6,7.95,2.187885304412267,8.15,0.8127277008872489,20
nmin_sensitivity,0.001,N_min = 4,3.5,4,52.85,5.294237184752971,8.1,1.2523661815266247,20
nmin_sensitivity,0.001,N_min = 5,3.5,5,16.55,2.837252191822221,8.1,1.2523661815266247,20
nmin_sensitivity,0.001,N_min = 6,3.5,6,6.1,1.8890264827766652,8.1,1.2523661815266247,20
nmin_sensitivity,0.005,N_min = 4,3.5,4,80.3,5.079370039680119,8.95,1.1909748329127607,20
nmin_sensitivity,0.005,N_min = 5,3.5,5,29.15,4.003616785910092,8.95,1.1909748329127607,20
nmin_sensitivity,0.005,N_min = 6,3.5,6,13.0,1.5217718205053643,8.95,1.1909748329127607,20
nmin_sensitivity,0.01,N_min = 4,3.5,4,86.05,6.286786477249435,8.9,0.9119095061289914,20
nmin_sensitivity,0.01,N_min = 5,3.5,5,31.0,3.1288134626740733,8.9,0.9119095061289914,20
nmin_sensitivity,0.01,N_min = 6,3.5,6,13.55,3.4255233945071497,8.9,0.9119095061289914,20
nmin_sensitivity,0.02,N_min = 4,3.5,4,86.7,5.3419885908960145,9.1,1.1192102478745307,20
nmin_sensitivity,0.02,N_min = 5,3.5,5,33.5,3.926964811604372,9.1,1.1192102478745307,20
nmin_sensitivity,0.02,N_min = 6,3.5,6,15.65,1.8715318802914818,9.1,1.1192102478745307,20
rconn_sensitivity,0.0,r_conn = 3.3 A,3.3,5,13.0,2.4494897427831783,7.3,0.6569466853317862,20
rconn_sensitivity,0.0,r_conn = 3.5 A,3.5,5,21.05,2.9819633235769167,8.15,0.8127277008872489,20
rconn_sensitivity,0.0,r_conn = 3.7 A,3.7,5,29.8,2.930780388260186,8.55,1.0500626547722607,20
rconn_sensitivity,0.001,r_conn = 3.3 A,3.3,5,9.65,2.1588252165910684,7.45,0.8870412083230169,20
rconn_sensitivity,0.001,r_conn = 3.5 A,3.5,5,16.55,2.837252191822221,8.1,1.2523661815266247,20
rconn_sensitivity,0.001,r_conn = 3.7 A,3.7,5,22.4,3.330876287421264,8.75,1.1641577031891928,20
rconn_sensitivity,0.005,r_conn = 3.3 A,3.3,5,19.3,4.280924641882135,8.6,1.0954451150103326,20
rconn_sensitivity,0.005,r_conn = 3.5 A,3.5,5,29.15,4.003616785910092,8.95,1.1909748329127607,20
rconn_sensitivity,0.005,r_conn = 3.7 A,3.7,5,36.1,4.115439478994091,9.4,1.2311740225021852,20
rconn_sensitivity,0.01,r_conn = 3.3 A,3.3,5,21.8,3.805812728750035,7.65,0.5871429486123998,20
rconn_sensitivity,0.01,r_conn = 3.5 A,3.5,5,31.0,3.1288134626740733,8.9,0.9119095061289914,20
rconn_sensitivity,0.01,r_conn = 3.7 A,3.7,5,38.25,2.572629210094525,9.5,0.760885910252682,20
rconn_sensitivity,0.02,r_conn = 3.3 A,3.3,5,23.8,3.6935220675065557,8.15,0.7451598203705945,20
rconn_sensitivity,0.02,r_conn = 3.5 A,3.5,5,33.5,3.926964811604372,9.1,1.1192102478745307,20
rconn_sensitivity,0.02,r_conn = 3.7 A,3.7,5,40.85,4.404244364366333,9.7,1.3416407864998738,20
